code,pref,city,pop,did,did_prop
43364,熊本県,玉東町,5045,0,0
43367,熊本県,南関町,8979,0,0
43368,熊本県,長洲町,15372,0,0
43369,熊本県,和水町,9342,0,0
43403,熊本県,大津町,35187,8691,24.6994628698099
43404,熊本県,菊陽町,43337,32159,74.2067978863327
43423,熊本県,南小国町,3750,0,0
43424,熊本県,小国町,6590,0,0
43425,熊本県,産山村,1382,0,0
43428,熊本県,高森町,5789,0,0
43432,熊本県,西原村,6426,0,0
43433,熊本県,南阿蘇村,9836,0,0
43441,熊本県,御船町,16303,0,0
43442,熊本県,嘉島町,9547,0,0
43443,熊本県,益城町,32510,21314,65.5613657336204
43444,熊本県,甲佐町,10132,0,0
43447,熊本県,山都町,13503,0,0
43468,熊本県,氷川町,11094,0,0
43482,熊本県,芦北町,15681,0,0
43484,熊本県,津奈木町,4254,0,0
43501,熊本県,錦町,10288,0,0
43505,熊本県,多良木町,9076,0,0
43506,熊本県,湯前町,3627,0,0
43507,熊本県,水上村,2033,0,0
43510,熊本県,相良村,4070,0,0
43511,熊本県,五木村,931,0,0
43512,熊本県,山江村,3238,0,0
43513,熊本県,球磨村,2433,0,0
43514,熊本県,あさぎり町,14676,0,0
43531,熊本県,苓北町,7114,0,0
44000,大分県,大分県,1123852,547792,48.7423610938095
44201,大分県,大分市,475614,351227,73.8470692620486
44202,大分県,別府市,115321,101008,87.5885571578464
44203,大分県,中津市,82863,25772,31.1019393456669
44204,大分県,日田市,62657,27859,44.4627096733007
44205,大分県,佐伯市,66851,22447,33.5776577762487
44206,大分県,臼杵市,36158,12844,35.5218762099674
44207,大分県,津久見市,16100,6635,41.2111801242236
44208,大分県,竹田市,20332,0,0
44209,大分県,豊後高田市,22112,0,0
44210,大分県,杵築市,27999,0,0
44211,大分県,宇佐市,52771,0,0
44212,大分県,豊後大野市,33695,0,0
44213,大分県,由布市,32772,0,0
44214,大分県,国東市,26232,0,0
44322,大分県,姫島村,1725,0,0
44341,大分県,日出町,27723,0,0
44461,大分県,九重町,8541,0,0
44462,大分県,玖珠町,14386,0,0
45000,宮崎県,宮崎県,1069576,509617,47.646637546093
45201,宮崎県,宮崎市,401339,277345,69.1049212760285
45202,宮崎県,都城市,160640,69037,42.9762201195219
45203,宮崎県,延岡市,118394,78838,66.5895231177256
45204,宮崎県,日南市,50848,12282,24.1543423536816
45205,宮崎県,小林市,43670,7287,16.6865124799634
45206,宮崎県,日向市,59629,39762,66.6823190058529
45207,宮崎県,串間市,16822,0,0
45208,宮崎県,西都市,28610,6583,23.0094372596994
45209,宮崎県,えびの市,17638,0,0
45341,宮崎県,三股町,25591,0,0
45361,宮崎県,高原町,8639,0,0
45382,宮崎県,国富町,18398,0,0
45383,宮崎県,綾町,6934,0,0
45401,宮崎県,高鍋町,19922,9653,48.4539704848911
45402,宮崎県,新富町,16564,0,0
45403,宮崎県,西米良村,1000,0,0
45404,宮崎県,木城町,4895,0,0
45405,宮崎県,川南町,15194,0,0
45406,宮崎県,都農町,9906,0,0
45421,宮崎県,門川町,17379,8830,50.8084469762357
45429,宮崎県,諸塚村,1486,0,0
45430,宮崎県,椎葉村,2503,0,0
45431,宮崎県,美郷町,4826,0,0
45441,宮崎県,高千穂町,11642,0,0
45442,宮崎県,日之影町,3635,0,0
45443,宮崎県,五ヶ瀬町,3472,0,0
46000,鹿児島県,鹿児島県,1588256,660703,41.5992761872142
46201,鹿児島県,鹿児島市,593128,478507,80.6751662373046
46203,鹿児島県,鹿屋市,101096,25656,25.3778586689879
46204,鹿児島県,枕崎市,20033,8087,40.3683921529476
46206,鹿児島県,阿久根市,19270,0,0
46208,鹿児島県,出水市,51994,0,0
46210,鹿児島県,指宿市,39011,5479,14.0447566071108
46213,鹿児島県,西之表市,14708,0,0
46214,鹿児島県,垂水市,13819,0,0
46215,鹿児島県,薩摩川内市,92403,21215,22.959211281019
46216,鹿児島県,日置市,47153,5176,10.9770322142812
46217,鹿児島県,曽於市,33310,0,0
46218,鹿児島県,霧島市,123135,49490,40.1916595606448
46219,鹿児島県,いちき串木野市,27490,11437,41.6042197162605
46220,鹿児島県,南さつま市,32887,0,0
46221,鹿児島県,志布志市,29329,0,0
